year,university,country,rank,score
2026,University College Dublin,Ireland,118,66
2026,Leiden University,Netherlands,119,65.7
2026,Rice University,United States of America,119,65.7
2026,University of Oslo,Norway,119,65.7
2026,University of Waterloo,Canada,119,65.7
2026,Georgia Institute of Technology,United States of America,123,65.5
2026,Indian Institute of Technology Delhi (IITD),India,123,65.5
2026,RMIT University,Australia,125,65.3
2026,Sungkyunkwan University,Republic of Korea,126,65.2
2026,Universiti Kebangsaan Malaysia (UKM),Malaysia,126,65.2
2026,Sapienza University of Rome,Italy,128,64.9
2026,Indian Institute of Technology Bombay (IITB),India,129,64.8
2026,Humboldt-Universität zu Berlin,Germany,130,64.5
2026,Aarhus University,Denmark,131,64.3
2026,University of Bath,United Kingdom,132,64.2
2026,University of Science and Technology of China,China (Mainland),132,64.2
2026,Universiti Putra Malaysia (UPM),Malaysia,134,64.1
2026,Universiti Sains Malaysia (USM),Malaysia,134,64.1
2026,Universidad Nacional Autónoma de México (UNAM),Mexico,136,64
2026,Newcastle University,United Kingdom,137,63.9
2026,Alma Mater Studiorum - University of Bologna,Italy,138,63.3
2026,Macquarie University,Australia,138,63.3
2026,Eindhoven University of Technology,Netherlands,140,63.2
2026,Erasmus University Rotterdam,Netherlands,140,63.2
2026,"University of North Carolina, Chapel Hill",United States of America,140,63.2
2026,King Saud University,Saudi Arabia,143,63.1
2026,Texas A&M University,United States of America,144,63
2026,Technische Universität Berlin,Germany,145,62.8
2026,University of Southern California,United States of America,146,62.6
2026,Stockholm University,Sweden,147,62.5
2026,University of Groningen,Netherlands,147,62.5
2026,University of Liverpool,United Kingdom,147,62.5
2026,University of Cape Town,South Africa,150,62.3
2026,Western University,Canada,151,62
2026,University of Vienna,Austria,152,61.9
2026,Universiti Teknologi Malaysia (UTM),Malaysia,153,61.6
2026,Wageningen University & Research,Netherlands,153,61.6
2026,University of Exeter,United Kingdom,155,61.5
2026,University of Geneva,Switzerland,155,61.5
2026,Lancaster University,United Kingdom,157,61.4
2026,University of Basel,Switzerland,158,61.3
2026,Hanyang University,Republic of Korea,159,61.2
2026,University of Barcelona,Spain,160,61
2026,Michigan State University,United States of America,161,60.9
2026,Ghent University,Belgium,162,60.8
2026,King Abdul Aziz University (KAU),Saudi Arabia,163,60.7
2026,Nagoya University,Japan,164,60.3
2026,Chalmers University of Technology,Sweden,165,60.2
2026,Al-Farabi Kazakh National University,Kazakhstan,166,59.8
2026,Washington University in St. Louis,United States of America,167,59.6
2026,University of Montreal,Canada,168,59.5
2026,University of York,United Kingdom,169,59.4
2026,Hokkaido University,Japan,170,59.3
2026,Kyushu University,Japan,170,59.3
2026,Universitat Autónoma de Barcelona,Spain,172,59.2
2026,Arizona State University,United States of America,173,59.1
2026,McMaster University,Canada,173,59.1
2026,Universidad de Chile,Chile,173,59.1
2026,National Tsing Hua University,Taiwan,176,59
2026,Khalifa University of Science and Technology,United Arab Emirates,177,58.8
2026,Tongji University,China (Mainland),177,58.8
2026,"University of California, Santa Barbara (UCSB)",United States of America,179,58.7
2026,Indian Institute of Technology Madras (IITM),India,180,58.4
2026,Cardiff University,United Kingdom,181,57.8
2026,Emory University,United States of America,182,57.7
2026,Curtin University,Australia,183,57.6
2026,University of Bern,Switzerland,184,57.5
2026,University of Wollongong,Australia,184,57.5
2026,Wuhan University,China (Mainland),186,57.3
2026,Tecnológico de Monterrey (ITESM),Mexico,187,57.1
2026,University Complutense Madrid,Spain,187,57.1
2026,UNIVERSITAS INDONESIA,Indonesia,189,57
2026,Ohio State University,United States of America,190,56.9
2026,"Queen's University, Ontario",Canada,191,56.8
2026,Université Catholique de Louvain (UCL),Belgium,191,56.8
2026,Universität Hamburg,Germany,193,56.5
2026,University of Reading,United Kingdom,194,56.2
2026,Vrije Universiteit Amsterdam,Netherlands,194,56.2
2026,Waseda University,Japan,196,56.1
2026,University of Otago,New Zealand,197,55.8
2026,Vienna University of Technology,Austria,197,55.8
2026,National Yang Ming Chiao Tung University,Taiwan,199,55.7
2026,Queen's University Belfast,United Kingdom,199,55.7
2023,NUS,Singapore,11,92.7
2023,NTU,Singapore,19,88.4
2023,SMU,Singapore,571,
2024,NUS,Singapore,8,
2024,NTU,Singapore,26,
2024,SUTD,Singapore,429,
2024,SMU,Singapore,545,
2025,NUS,Singapore,8,93.7
2025,NTU,Singapore,15,88.4
2025,SUTD,Singapore,440,27
2025,SMU,Singapore,585,21.2
2026,NUS,Singapore,8,95.9
2026,NTU,Singapore,12,93.7
2026,SMU,Singapore,511,31.6
2026,SUTD,Singapore,519,31.3
