year,university,faculty,degree_name,employed_%,ft_perm_employed_%,mean_basic_salary_sgd,median_basic_salary_sgd,mean_gross_salary_sgd,median_gross_salary_sgd,p25_gross_salary_sgd,p75_gross_salary_sgd
2022,NUS,NUS Business School,Bachelor of Science (Real Estate),99.00,95.10,"3,924","3,800","4,062","3,850","3,600","4,400"
2022,NUS,School of Computing,Bachelor of Computing (Computer Science),96.80,96.10,"6,954","6,500","7,121","6,600","5,341","7,583"
2022,NUS,School of Computing,Bachelor of Computing (Information Security),94.60,91.10,"5,274","5,400","5,660","5,500","4,800","6,475"
2022,NUS,School of Computing,Bachelor of Computing (Information Systems),95.30,93.00,"5,551","5,300","5,672","5,500","4,800","6,250"
2022,NUS,School of Computing,Bachelor of Science (Business Analytics),96.20,95.20,"5,845","5,500","5,966","5,500","5,000","6,600"
2022,NUS,YST Conservatory of Music,Bachelor of Music,85.70,28.60,"3,661","3,590","3,661","3,590","3,350","3,973"
2022,NUS,Yale-NUS College,Bachelor of Arts with Honours,87.30,80.50,"5,130","4,500","5,418","4,600","3,800","6,000"
2022,NUS,Yale-NUS College,Bachelor of Science with Honours,96.30,88.90,"6,764","5,875","6,879","6,038","4,500","9,000"
2022,NUS,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery,N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2022,NUS,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),94.80,91.30,"3,426","3,350","3,656","3,600","3,500","3,825"
2022,NUS,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),100.00,99.00,"3,575","3,550","3,834","3,850","3,650","4,000"
2022,SMU,Lee Kong Chian School of Business,Bachelor of Business Management,N.A,N.A,.A.,.A.,.A.,"4,800",.A.,.A.
2022,SMU,School of Accountancy,Bachelor of Accountancy,N.A,N.A,.A.,.A.,.A.,"4,025",.A.,.A.
2022,SMU,School of Computing and Information Systems,Bachelor of Science (Information Systems),N.A,N.A,.A.,.A.,.A.,"5,638",.A.,.A.
2022,SMU,School of Economics,Bachelor of Science (Economics),N.A,N.A,.A.,.A.,.A.,"4,500",.A.,.A.
2022,SMU,School of Law,Bachelor of Laws,N.A,N.A,.A.,.A.,.A.,"6,400",.A.,.A.
2022,SMU,School of Social Sciences,Bachelor of Social Science,N.A,N.A,.A.,.A.,.A.,"4,316",.A.,.A.
2023,NTU,College of Business (Nanyang Business School),Accountancy,96.60,95.50,"4,067","3,600","4,119","3,600","3,600","3,755"
2023,NTU,College of Business (Nanyang Business School),Accountancy and Business,97.20,95.40,"4,957","4,500","5,030","4,650","3,800","5,344"
2023,NTU,College of Business (Nanyang Business School),Business,91.80,84.20,"4,472","4,100","5,309","4,255","3,850","5,300"
2023,NTU,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,94.70,89.50,"6,616","6,200","6,799","6,210","5,000","7,000"
2023,NTU,College of Engineering,Aerospace Engineering,87.50,83.80,"4,715","4,500","4,845","4,763","4,150","5,730"
2023,NTU,College of Engineering,Bioengineering,86.70,80.00,"3,945","3,900","4,077","4,043","3,775","4,450"
2023,NTU,College of Engineering,Chemical and Biomolecular Engineering,92.00,87.00,"4,019","4,000","4,299","4,200","3,950","4,550"
2023,NTU,College of Engineering,Civil Engineering,95.00,93.00,"3,905","3,850","4,152","4,000","3,523","4,232"
2023,NTU,College of Engineering,Computer Engineering,89.30,87.50,"5,512","5,500","5,631","5,400","4,700","6,260"
2023,NTU,College of Engineering,Computer Science,88.30,86.50,"5,334","5,200","5,440","5,200","4,800","6,200"
2023,NTU,College of Engineering,Data Science and Artificial Intelligence,83.30,81.40,"5,517","5,285","5,525","5,245","4,800","6,250"
2023,NTU,College of Engineering,Double Degree in Engineering and Economics,100.00,100.00,"5,517","5,285","5,812","5,405","4,900","6,065"
2023,NTU,College of Engineering,Electrical and Electronic Engineering,87.10,85.60,"4,713","4,650","4,803","4,800","4,200","5,100"
2023,NTU,College of Engineering,Environmental Engineering,60.60,54.50,"3,767","3,650","4,099","4,115","3,800","4,337"
2023,NTU,College of Engineering,Information Engineering and Media,71.00,69.00,"4,251","4,800","4,905","4,950","3,900","5,400"
2023,NTU,College of Engineering,Maritime Studies,93.80,92.40,"4,223","4,200","4,302","4,200","3,400","4,900"
2023,NTU,College of Engineering,Materials Engineering,94.90,77.90,"4,216","4,200","4,351","4,200","3,900","4,645"
2023,NTU,College of Engineering,Mechanical Engineering,85.00,82.50,"4,379","4,250","4,481","4,400","4,000","4,864"
2023,NTU,"College of Humanities, Arts & Social Sciences","Art, Design and Media",80.60,52.40,"3,471","3,498","3,515","3,498","3,000","3,755"
2023,NTU,"College of Humanities, Arts & Social Sciences",Chinese,83.60,70.90,"3,927","4,015","4,007","4,090","3,450","4,530"
2023,NTU,"College of Humanities, Arts & Social Sciences",Communication Studies,86.70,77.40,"3,625","3,600","3,719","3,675","3,500","4,000"
2023,NTU,"College of Humanities, Arts & Social Sciences",Economics,90.40,73.90,"4,187","4,000","4,561","4,314","3,400","4,971"
2023,NTU,"College of Humanities, Arts & Social Sciences",English,83.30,63.00,"3,698","3,500","3,803","3,775","3,300","4,180"
2023,NTU,"College of Humanities, Arts & Social Sciences",History,88.00,85.20,"4,105","4,063","4,235","4,200","3,200","4,500"
2023,NTU,"College of Humanities, Arts & Social Sciences",Interdisciplinary Double Major,88.90,65.20,"4,065","4,000","4,085","4,004","3,500","4,300"
2023,NTU,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,80.40,56.90,"3,403","3,200","3,899","3,950","3,500","4,238"
2023,NTU,"College of Humanities, Arts & Social Sciences",Philosophy,78.80,72.80,"3,864","3,892","4,056","4,053","3,500","4,280"
2023,NTU,"College of Humanities, Arts & Social Sciences",Psychology,83.20,68.40,"3,882","3,850","3,913","4,000","3,520","4,268"
2023,NTU,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,88.00,81.00,"3,317","3,200","3,841","3,821","3,250","4,182"
2023,NTU,"College of Humanities, Arts & Social Sciences",Sociology,86.40,74.10,"3,849","3,800","3,994","4,008","3,450","4,300"
2023,NTU,College of Science,Biological and Biomedical Sciences,88.10,83.90,"3,963","3,850","4,116","3,980","3,575","4,300"
2023,NTU,College of Science,Biomedical Sciences and Chinese Medicine,96.30,85.20,"3,297","3,350","3,358","3,350","3,200","3,600"
2023,NTU,College of Science,Chemistry and Biological Chemistry,80.40,66.40,"3,822","3,725","3,941","3,800","3,500","4,200"
2023,NTU,College of Science,Environmental Earth Systems Science,96.30,96.30,"4,171","4,038","4,202","4,138","3,750","4,650"
2023,NTU,College of Science,Mathematics and Mathematical Sciences,80.20,73.30,"4,545","4,200","4,574","4,250","3,800","4,800"
2023,NTU,College of Science,Physics and Applied Physics,80.90,72.30,"3,904","4,000","4,076","4,000","3,905","4,400"
2023,NTU,Lee Kong Chian School of Medicine,Medicine,N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,NTU,National Institute of Education (NIE),Arts (and Education),100.00,100.00,"4,023","4,000","4,185","4,200","3,948","4,600"
2023,NTU,National Institute of Education (NIE),Science (and Education),100.00,100.00,"3,907","4,000","4,370","4,300","4,000","4,651"
2023,NTU,National Institute of Education (NIE),Sports Science and Management,92.50,71.70,"3,692","3,623","3,837","3,850","3,250","4,319"
2023,NUS,College of Design and Engineering,Bachelor of Arts (Architecture),N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,NUS,College of Design and Engineering,Bachelor of Arts (Industrial Design),85.70,71.40,"4,104","4,000","4,139","4,000","3,600","4,500"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Biomedical Engineering),87.60,81.40,"4,123","4,000","4,243","4,100","3,740","4,600"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Chemical Engineering),85.70,80.70,"4,374","4,200","4,642","4,405","4,000","4,760"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Civil Engineering),93.90,87.70,"3,966","3,900","4,139","4,000","3,800","4,500"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Electrical Engineering),92.20,89.70,"4,790","4,675","4,918","4,800","4,300","5,350"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Engineering Science),77.80,77.80,"4,504","4,200","4,645","4,500","4,000","5,200"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Environmental Engineering),76.90,74.40,"4,199","4,200","4,299","4,243","3,900","4,588"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Industrial and Systems Engineering),94.60,94.60,"4,483","4,500","4,744","4,640","4,280","4,980"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Materials Science and Engineering),83.00,75.50,"4,253","4,200","4,371","4,346","4,000","4,700"
2023,NUS,College of Design and Engineering,Bachelor of Engineering (Mechanical Engineering),89.20,87.90,"4,578","4,320","4,722","4,490","4,030","5,045"
2023,NUS,College of Design and Engineering,Bachelor of Landscape Architecture,93.80,93.80,"3,438","3,450","3,506","3,450","3,350","3,500"
2023,NUS,College of Design and Engineering,Bachelor of Science (Project and Facilities Management),87.00,83.50,"3,907","3,800","4,000","3,855","3,650","4,299"
2023,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts,80.40,66.10,"3,942","3,700","4,291","3,745","3,400","5,000"
2023,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),86.50,73.60,"3,926","3,930","4,083","4,008","3,500","4,500"
2023,NUS,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,89.00,80.00,"4,173","4,000","4,304","4,015","3,720","4,500"
2023,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100.00,100.00,"4,586","4,550","4,589","4,550","4,500","4,950"
2023,NUS,Faculty of Law,Bachelor of Laws,96.90,96.90,"7,051","7,000","7,244","7,000","6,000","7,100"
2023,NUS,Faculty of Science,Bachelor of Science,88.20,70.60,"4,492","4,100","4,642","4,250","3,650","4,800"
2023,NUS,Faculty of Science,Bachelor of Science (Computational Biology),N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,NUS,Faculty of Science,Bachelor of Science (Data Science and Analytics),83.20,80.40,"4,999","5,000","5,166","5,000","4,500","5,500"
2023,NUS,Faculty of Science,Bachelor of Science (Hons),89.60,81.70,"4,180","3,985","4,290","4,000","3,600","4,500"
2023,NUS,Faculty of Science,Bachelor of Science (Pharmaceutical Science) (Hons),96.60,93.10,"3,892","3,700","3,999","3,900","3,625","4,200"
2023,NUS,Faculty of Science,Bachelor of Science (Pharmacy),N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,NUS,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),89.90,86.20,"5,529","5,450","5,737","5,595","4,900","6,350"
2023,NUS,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,96.90,93.80,"4,002","4,000","4,142","4,000","3,600","4,405"
2023,NUS,NUS Business School,Bachelor of Business Administration,87.80,77.60,"5,707","5,000","6,002","5,167","4,077","7,500"
2023,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),91.50,76.90,"3,813","3,600","4,199","3,600","3,520","3,820"
2023,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),94.00,94.00,"4,769","4,000","4,850","4,200","3,600","5,000"
2023,NUS,NUS Business School,Bachelor of Business Administration (Hons),94.50,90.60,"5,256","4,600","5,413","4,800","4,000","5,500"
2023,NUS,NUS Business School,Bachelor of Science (Real Estate),92.00,86.60,"4,097","4,000","4,239","4,000","3,800","4,500"
2023,NUS,School of Computing,Bachelor of Computing (Computer Science),92.40,91.90,"6,673","6,181","6,877","6,333","5,500","7,700"
2023,NUS,School of Computing,Bachelor of Computing (Information Security),89.50,89.50,"5,433","5,451","5,707","5,500","5,000","6,210"
2023,NUS,School of Computing,Bachelor of Computing (Information Systems),91.40,91.40,"5,707","5,500","5,937","5,500","5,000","6,000"
2023,NUS,School of Computing,Bachelor of Science (Business Analytics),93.60,93.00,"5,895","5,500","6,030","5,500","5,500","6,600"
2023,NUS,YST Conservatory of Music,Bachelor of Music,70.80,50.00,"3,766","3,800","4,053","4,000","3,400","4,500"
2023,NUS,Yale-NUS College,Bachelor of Arts with Honours,91.30,85.20,"4,785","4,200","4,908","4,250","3,850","5,500"
2023,NUS,Yale-NUS College,Bachelor of Science with Honours,89.20,82.90,"5,381","4,540","5,490","4,600","3,600","6,372"
2023,NUS,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery,N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,NUS,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),98.10,95.40,"3,627","3,550","3,923","3,850","3,500","4,200"
2023,NUS,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),97.80,97.00,"3,690","3,750","3,981","3,850","3,700","4,250"
2023,SMU,School of Accountancy,Accountancy,95.50,94.70,"4,404","3,800","4,463","3,900","3,600","4,700"
2023,SMU,School of Accountancy,Accountancy (Cum Laude and above),96.00,94.90,"5,017","4,500","5,069","4,500","3,850","5,400"
2023,SMU,School of Business,Business Management,92.40,86.80,"4,668","4,200","4,795","4,436","3,800","5,200"
2023,SMU,School of Business,Business Management (Cum Laude and above),95.50,92.00,"5,097","4,600","5,244","4,875","4,000","5,500"
2023,SMU,School of Computing & Information Systems,Computer Science,92.70,92.70,"5,762","5,513","6,120","5,800","5,100","6,500"
2023,SMU,School of Computing & Information Systems,Computer Science (Cum Laude and above),94.10,94.10,"6,470","6,250","6,902","6,250","5,500","7,752"
2023,SMU,School of Computing & Information Systems,Information Systems,92.30,88.40,"5,381","5,250","5,530","5,400","4,800","6,250"
2023,SMU,School of Computing & Information Systems,Information Systems (Cum Laude and above),95.00,93.50,"5,710","5,500","5,866","5,625","5,000","6,666"
2023,SMU,School of Economics,Economics,93.40,91.30,"4,849","4,500","4,937","4,500","4,000","5,254"
2023,SMU,School of Economics,Economics (Cum Laude and above),95.70,95.70,"5,495","4,833","5,565","4,833","4,300","6,000"
2023,SMU,School of Law,Law,99.20,99.20,"6,375","6,500","6,509","7,000","5,800","7,000"
2023,SMU,School of Law,Law (Cum Laude and above),98.90,98.90,"6,553","7,000","6,690","7,000","6,200","7,000"
2023,SMU,School of Social Sciences,Social Sciences,87.00,81.50,"4,185","3,900","4,330","4,000","3,600","4,780"
2023,SMU,School of Social Sciences,Social Sciences (Cum Laude and above),86.80,81.30,"4,398","4,150","4,547","4,312","3,700","5,000"
2023,SUTD,Bachelor of Engineering,Bachelor of Engineering (Computer Science and Design),85.40,81.50,"5,134","4,900","5,304","5,000","4,500","5,800"
2023,SUTD,Bachelor of Engineering,Bachelor of Engineering (Engineering Product Development),89.10,82.80,"4,562","4,500","4,703","4,550","4,250","5,150"
2023,SUTD,Bachelor of Engineering,Bachelor of Engineering (Engineering Systems and Design),93.50,91.30,"4,533","4,500","4,801","4,730","4,275","5,000"
2023,SUTD,Bachelor of Science,Bachelor of Science (Architecture and Sustainable Design),N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2023,SUTD,Bachelor of Science,Bachelor of Science (Design and Artificial Intelligence),N.A,N.A,.A.,.A.,.A.,.A.,.A.,.A.
2024,NTU,College of Business (Nanyang Business School),Accountancy,96.00,93.20,"4,472","4,300","4,564","4,350","4,100","4,500"
2024,NTU,College of Business (Nanyang Business School),Accountancy and Business,97.00,91.50,"5,047","4,800","5,186","4,800","4,492","5,400"
2024,NTU,College of Business (Nanyang Business School),Business,87.50,78.80,"4,688","4,300","4,781","4,334","4,000","5,000"
2024,NTU,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,94.30,94.30,"6,239","6,000","6,579","6,250","5,500","7,000"
2024,NTU,College of Computing and Data Science,Computer Engineering,91.30,89.90,"5,372","5,350","5,521","5,500","4,800","6,391"
2024,NTU,College of Computing and Data Science,Computer Science,82.00,79.60,"5,577","5,500","5,726","5,500","4,800","6,400"
2024,NTU,College of Computing and Data Science,Data Science and Artificial Intelligence,84.00,76.00,"5,623","5,450","5,676","5,450","5,000","6,500"
